PP   TCA1   TCA2   TCA3   TCA4   TCA5   TCA6   TCA7   TCA9   TCA10   PPS1   PPS2   PPS3   PPS4   PPS5   PPS6   PPS7   PPS8   PPS9   G1   G2   G3   G4   G5   G6   G7   G8   G9   G10   ETC2   ETC3   ETC4   ETC5   AP1   AP2   
2           2           2           2           2           2           2           2           2           2           0           0           0           0           0           0           0           0           0           1           1           1           1           1           2           2           2           2           2           2           2           1           4           0           0
2.5         2.5         2.5         2.5         2.5         2.5         2.5         2.5         2.5         2.5         1.5         1.5         1.5         0.5           1         0.5         0.5         0.5           0         1.5           0           1           1           1         2.5         2.5         2.5         2.5         2.5         2.5         2.5        1.25           5           0           0
1           1           1           1           1           1           1           1           1           1           3           3           3           1           2           1           1           1           0           1          -2           0           0           0           1           1           1           1           1           1           1         0.5           2           0           0
2           2           2           2           2           2           2           2           2           2           0           0           0           0           0           0           0           0          -1           1           0           1           1           1           2           2           2           2           2           2           2           1           4           0           0
2.5         2.5         2.5         2.5         2.5         2.5         2.5         2.5         2.5           0         1.5         1.5         1.5         0.5           1         0.5         0.5         0.5           0         1.5           0           1           1           1         2.5         2.5         2.5         2.5         2.5         2.5         2.5        1.25           5         2.5        -2.5
1           1           1           1           1           1           1           1           1           1           3           3           3           1           2           1           1           1           2           1           0           0           0           0           1           1           1           1           1           1           1         0.5           2           0           0
1           1           1           1           1           1           1           1           1           0           3           3           3           1           2           1           1           1           0           1          -2           0           0           0           1           1           1           1           1           1           1         0.5           2           1          -1
0           0           0           0           0           0           0           0           0          -1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           1          -1
1           1           1           1           1           1           1           1           1           0           3           3           3           1           2           1           1           1           2           1           0           0           0           0           1           1           1           1           1           1           1         0.5           2           1          -1
2           2           2           2           2           2           2           2           2           0           0           0           0           0           0           0           0           0           0           1           1           1           1           1           2           2           2           2           2           2           2           1           4           2          -2
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2           2           2           2           2           2           2           2           2           0           0           0           0           0           0           0           0           0          -1           1           0           1           1           1           2           2           2           2           2           2           2           1           4           2          -2
